x,y,theta,vy,theta_dot,input,cost,x,.state.y
200,200,0,0,0,0,0,200,200
206.195,195.128,5.57502,0.0936014,-1.21787,0.0485714,305.387,200,200
209.973,186.979,5.47901,-0.0494281,-0.0981201,-0.097143,57.2417,206.195,195.128
209.843,180.674,4.39553,0.130663,-2.01824,0.0971429,346.888,209.973,186.979
202.674,176.953,4.1959,-0.0798179,-0.299564,-0.145714,309.488,209.843,180.674
195.986,170.622,3.91827,0.00702681,-0.738665,0.0485714,284.817,202.674,176.953
189.514,163.922,4.09758,-0.068584,0.217758,-0.0485716,738.217,195.986,170.622
184.335,155.755,4.06293,0.00840703,-0.211145,0.0485714,335.965,189.514,163.922
176.468,149.678,3.86296,0.0146583,-0.354599,0,618.542,184.335,155.755
171.667,142.163,4.22815,-0.0683885,0.61698,-0.0485716,449.858,176.468,149.678
170.829,132.334,4.44667,-0.000442056,0.286641,0.0485714,535.53,171.667,142.163
165.327,125.918,3.92798,0.0865663,-0.854226,0.0485714,610.67,170.829,132.334
155.656,125.831,3.41725,0.0271043,-0.77826,-0.0485716,117.035,165.327,125.918
146.039,124.884,3.41573,-0.0441931,-0.046712,-0.0485716,542.221,155.656,125.831
137.176,125.773,3.02337,0.042958,-0.803357,0.0485714,700.774,146.039,124.884
129.745,124.864,3.58307,-0.117908,0.960865,-0.097143,328.211,137.176,125.773
124.444,124.91,2.34116,0.206686,-2.3104,0.194286,487.663,129.745,124.864
123.301,125.728,0.821142,-0.673828,8.01292,-0.874286,846.829,124.444,124.91
120.155,124.228,5.66238,-0.240949,7.79119,0.388571,728.763,123.301,125.728
116.774,120.198,1.42946,0.173685,4.08568,0.34,453.014,120.155,124.228
109.379,123.283,1.98518,0.203907,2.03898,0.0485714,593.987,116.774,120.198
101.819,126.687,2.41099,0.0986045,1.58851,-0.0485716,534.942,109.379,123.283
92.4003,128.598,2.66072,0.0792083,0.934307,0,656.016,101.819,126.687
83.1765,132.071,2.64317,0.0714217,0.322344,0,539.352,92.4003,128.598
74.2221,133.107,3.00039,-0.0173686,0.857058,-0.0485716,461.847,83.1765,132.071
64.6196,132.909,2.97675,0.0537918,0.0411788,0.0485714,315.426,74.2221,133.107
56.7786,138.36,2.58604,0.0620366,-0.524514,0,501.146,64.6196,132.909
49.5388,140.15,3.17562,-0.101911,1.1055,-0.097143,411.763,56.7786,138.36
41.3923,136.351,3.26439,0.0422559,0.0464745,0.0971429,442.305,49.5388,140.15
33.6636,132.009,3.67161,-0.0452194,0.823798,-0.0485716,358.033,41.3923,136.351
27.9324,132.232,2.45416,0.205784,-2.09788,0.145714,143.905,33.6636,132.009
25.3139,137.672,2.95892,-0.166294,1.09646,-0.242857,246.474,27.9324,132.232
