x,y,theta,vy,theta_dot,input,cost,x,.y
200,200,0,0,0,0,0,200,200
206.195,195.128,5.57502,0.0936014,-1.21787,0.0485714,305.387,200,200
200.987,196.662,4.19103,0.276702,-3.60539,0.145714,739.331,200,200
203.031,204.67,1.40346,-0.186174,2.42365,-0.097143,218.608,200,200
209.973,186.979,5.47901,-0.0494281,-0.0981201,-0.097143,57.2417,206.195,195.128
209.843,180.674,4.39553,0.130663,-2.01824,0.0971429,346.888,209.973,186.979
196.295,196.695,4.45297,-0.214817,0.620534,-0.34,396.329,200.987,196.662
202.674,176.953,4.1959,-0.0798179,-0.299564,-0.145714,309.488,209.843,180.674
195.986,170.622,3.91827,0.00702681,-0.738665,0.0485714,284.817,202.674,176.953
189.514,163.922,4.09758,-0.068584,0.217758,-0.0485716,738.217,195.986,170.622
184.335,155.755,4.06293,0.00840703,-0.211145,0.0485714,335.965,189.514,163.922
208.673,176.056,5.52555,-0.254552,1.98638,-0.242857,30.4419,209.843,180.674
176.468,149.678,3.86296,0.0146583,-0.354599,0,618.542,184.335,155.755
171.667,142.163,4.22815,-0.0683885,0.61698,-0.0485716,449.858,176.468,149.678
170.829,132.334,4.44667,-0.000442056,0.286641,0.0485714,535.53,171.667,142.163
170.767,122.376,4.63309,-0.00705535,0.363889,0,359.401,170.829,132.334
173.745,113.009,4.9201,-0.0165596,0.531507,0,556.701,170.767,122.376
165.327,125.918,3.92798,0.0865663,-0.854226,0.0485714,610.67,170.829,132.334
155.656,125.831,3.41725,0.0271043,-0.77826,-0.0485716,117.035,165.327,125.918
174.547,103.817,4.68251,0.0621409,-0.375112,0.0485714,357.303,173.745,113.009
172.991,94.2098,4.6667,-0.0123677,0.083083,-0.0485716,605.276,174.547,103.817
200.828,210.293,0.952765,0.18202,-0.901716,0.242857,240.568,203.031,204.67
178.062,88.8654,5.52052,-0.109961,1.45428,-0.0485716,367.615,172.991,94.2098
146.039,124.884,3.41573,-0.0441931,-0.046712,-0.0485716,542.221,155.656,125.831
184.355,85.1528,5.20265,0.116429,-0.62326,0.145714,134.436,178.062,88.8654
188.719,83.2533,0.388989,-0.215729,2.74458,-0.194286,59.249,184.355,85.1528
184.087,82.1541,2.40176,-0.127589,3.31056,0.0971429,134.079,188.719,83.2533
206.905,214.981,1.06494,-0.0448056,0.544147,-0.145714,145.537,200.828,210.293
180.541,74.6523,3.39734,0.0547238,1.87635,0.145714,552.007,184.087,82.1541
137.176,125.773,3.02337,0.042958,-0.803357,0.0485714,700.774,146.039,124.884
129.745,124.864,3.58307,-0.117908,0.960865,-0.097143,328.211,137.176,125.773
124.444,124.91,2.34116,0.206686,-2.3104,0.194286,487.663,129.745,124.864
121.975,128.561,3.33523,-0.242754,1.90243,-0.291429,507.734,124.444,124.91
